Rank,NOC,Gold,Silver,Bronze,Total,Year,Host
46,Philippines,0,0,1,1,1988,0
46,Thailand,0,0,1,1,1988,0
1,Unified Team,45,38,29,112,1992,0
2,United States,37,34,37,108,1992,0
3,Germany,33,21,28,82,1992,0
4,China,16,22,16,54,1992,0
5,Cuba,14,6,11,31,1992,0
6,Spain,13,7,2,22,1992,1
7,South Korea,12,5,12,29,1992,0
8,Hungary,11,12,7,30,1992,0
9,France,8,5,16,29,1992,0
10,Australia,7,9,11,27,1992,0
11,Canada,7,4,7,18,1992,0
12,Italy,6,5,8,19,1992,0
13,Great Britain,5,3,12,20,1992,0
14,Romania,4,6,8,18,1992,0
15,Czechoslovakia,4,2,1,7,1992,0
16,North Korea,4,0,5,9,1992,0
17,Japan,3,8,11,22,1992,0
18,Bulgaria,3,7,6,16,1992,0
19,Poland,3,6,10,19,1992,0
20,Netherlands,2,6,7,15,1992,0
21,Kenya,2,4,2,8,1992,0
22,Norway,2,4,1,7,1992,0
23,Turkey,2,2,2,6,1992,0
24,Indonesia,2,2,1,5,1992,0
25,Brazil,2,1,0,3,1992,0
26,Greece,2,0,0,2,1992,0
27,Sweden,1,7,4,12,1992,0
28,New Zealand,1,4,5,10,1992,0
29,Finland,1,2,2,5,1992,0
30,Denmark,1,1,4,6,1992,0
31,Morocco,1,1,1,3,1992,0
32,Ireland,1,1,0,2,1992,0
33,Ethiopia,1,0,2,3,1992,0
34,Algeria,1,0,1,2,1992,0
34,Estonia,1,0,1,2,1992,0
34,Lithuania,1,0,1,2,1992,0
37,Switzerland,1,0,0,1,1992,0
38,Jamaica,0,3,1,4,1992,0
38,Nigeria,0,3,1,4,1992,0
40,Latvia,0,2,1,3,1992,0
41,Austria,0,2,0,2,1992,0
41,Namibia,0,2,0,2,1992,0
41,South Africa,0,2,0,2,1992,0
44,Belgium,0,1,2,3,1992,0
44,Croatia,0,1,2,3,1992,0
44,Independent Olympic Participants,0,1,2,3,1992,0
44,Iran,0,1,2,3,1992,0
48,Israel,0,1,1,2,1992,0
49,Chinese Taipei,0,1,0,1,1992,0
49,Mexico,0,1,0,1,1992,0
49,Peru,0,1,0,1,1992,0
52,Mongolia,0,0,2,2,1992,0
52,Slovenia,0,0,2,2,1992,0
54,Argentina,0,0,1,1,1992,0
54,Bahamas,0,0,1,1,1992,0
54,Colombia,0,0,1,1,1992,0
54,Ghana,0,0,1,1,1992,0
54,Malaysia,0,0,1,1,1992,0
54,Pakistan,0,0,1,1,1992,0
54,Philippines,0,0,1,1,1992,0
54,Puerto Rico,0,0,1,1,1992,0
54,Qatar,0,0,1,1,1992,0
54,Suriname,0,0,1,1,1992,0
54,Thailand,0,0,1,1,1992,0
1,United States,44,32,25,101,1996,1
2,Russia,26,21,16,63,1996,0
3,Germany,20,18,27,65,1996,0
4,China,16,22,12,50,1996,0
5,France,15,7,15,37,1996,0
6,Italy,13,10,12,35,1996,0
7,Australia,9,9,23,41,1996,0
8,Cuba,9,8,8,25,1996,0
9,Ukraine,9,2,12,23,1996,0
10,South Korea,7,15,5,27,1996,0
11,Poland,7,5,5,17,1996,0
12,Hungary,7,4,10,21,1996,0
13,Spain,5,6,6,17,1996,0
14,Romania,4,7,9,20,1996,0
15,Netherlands,4,5,10,19,1996,0
16,Greece,4,4,0,8,1996,0
17,Czech Republic,4,3,4,11,1996,0
18,Switzerland,4,3,0,7,1996,0
19,Denmark,4,1,1,6,1996,0
19,Turkey,4,1,1,6,1996,0
21,Canada,3,11,8,22,1996,0
22,Bulgaria,3,7,5,15,1996,0
23,Japan,3,6,5,14,1996,0
24,Kazakhstan,3,4,4,11,1996,0
25,Brazil,3,3,9,15,1996,0
26,New Zealand,3,2,1,6,1996,0
27,South Africa,3,1,1,5,1996,0
28,Ireland,3,0,1,4,1996,0
29,Sweden,2,4,2,8,1996,0
30,Norway,2,2,3,7,1996,0
31,Belgium,2,2,2,6,1996,0
32,Nigeria,2,1,3,6,1996,0
33,North Korea,2,1,2,5,1996,0
34,Algeria,2,0,1,3,1996,0
34,Ethiopia,2,0,1,3,1996,0
36,Great Britain,1,8,6,15,1996,0
37,Belarus,1,6,8,15,1996,0
38,Kenya,1,4,3,8,1996,0
39,Jamaica,1,3,2,6,1996,0
40,Finland,1,2,1,4,1996,0
41,FR Yugoslavia,1,1,2,4,1996,0
41,Indonesia,1,1,2,4,1996,0
43,Iran,1,1,1,3,1996,0
43,Slovakia,1,1,1,3,1996,0
45,Armenia,1,1,0,2,1996,0
45,Croatia,1,1,0,2,1996,0
47,Portugal,1,0,1,2,1996,0
47,Thailand,1,0,1,2,1996,0
49,Burundi,1,0,0,1,1996,0
49,Costa Rica,1,0,0,1,1996,0
49,Ecuador,1,0,0,1,1996,0
49,Hong Kong,1,0,0,1,1996,0
49,Syria,1,0,0,1,1996,0
54,Argentina,0,2,1,3,1996,0
55,Namibia,0,2,0,2,1996,0
55,Slovenia,0,2,0,2,1996,0
57,Austria,0,1,2,3,1996,0
58,Malaysia,0,1,1,2,1996,0
58,Moldova,0,1,1,2,1996,0
58,Uzbekistan,0,1,1,2,1996,0
61,Azerbaijan,0,1,0,1,1996,0
61,Bahamas,0,1,0,1,1996,0
61,Chinese Taipei,0,1,0,1,1996,0
61,Latvia,0,1,0,1,1996,0
61,Philippines,0,1,0,1,1996,0
61,Tonga,0,1,0,1,1996,0
61,Zambia,0,1,0,1,1996,0
68,Georgia,0,0,2,2,1996,0
68,Morocco,0,0,2,2,1996,0
68,Trinidad and Tobago,0,0,2,2,1996,0
71,India,0,0,1,1,1996,0
71,Israel,0,0,1,1,1996,0
71,Lithuania,0,0,1,1,1996,0
71,Mexico,0,0,1,1,1996,0
71,Mongolia,0,0,1,1,1996,0
71,Mozambique,0,0,1,1,1996,0
71,Puerto Rico,0,0,1,1,1996,0
71,Tunisia,0,0,1,1,1996,0
71,Uganda,0,0,1,1,1996,0
1,United States,37,24,32,93,2000,0
2,Russia,32,28,29,89,2000,0
3,China,28,16,14,58,2000,0
4,Australia,16,25,17,58,2000,1
5,Germany,13,17,26,56,2000,0
6,France,13,14,11,38,2000,0
7,Italy,13,8,13,34,2000,0
8,Netherlands,12,9,4,25,2000,0
9,Cuba,11,11,7,29,2000,0
10,Great Britain,11,10,7,28,2000,0
11,Romania,11,6,9,26,2000,0
12,South Korea,8,10,10,28,2000,0
13,Hungary,8,6,3,17,2000,0
14,Poland,6,5,3,14,2000,0
15,Japan,5,8,5,18,2000,0
16,Bulgaria,5,6,2,13,2000,0
17,Greece,4,6,3,13,2000,0
18,Sweden,4,5,3,12,2000,0
19,Norway,4,3,3,10,2000,0
20,Ethiopia,4,1,3,8,2000,0
21,Ukraine,3,10,10,23,2000,0
22,Kazakhstan,3,4,0,7,2000,0
23,Belarus,3,3,11,17,2000,0
24,Canada,3,3,8,14,2000,0
25,Spain,3,3,5,11,2000,0
26,Turkey,3,0,2,5,2000,0
27,Iran,3,0,1,4,2000,0
28,Czech Republic,2,3,3,8,2000,0
29,Kenya,2,3,2,7,2000,0
30,Denmark,2,3,1,6,2000,0
31,Finland,2,1,1,4,2000,0
32,Austria,2,1,0,3,2000,0
33,Lithuania,2,0,3,5,2000,0
34,Azerbaijan,2,0,1,3,2000,0
34,Bahamas,2,0,1,3,2000,0
36,Slovenia,2,0,0,2,2000,0
37,Switzerland,1,6,2,9,2000,0
38,Indonesia,1,3,2,6,2000,0
39,Slovakia,1,3,1,5,2000,0
40,Mexico,1,2,3,6,2000,0
41,Nigeria,1,2,0,3,2000,0
42,Algeria,1,1,3,5,2000,0
43,Uzbekistan,1,1,2,4,2000,0
44,FR Yugoslavia,1,1,1,3,2000,0
44,Latvia,1,1,1,3,2000,0
46,New Zealand,1,0,3,4,2000,0
47,Estonia,1,0,2,3,2000,0
47,Thailand,1,0,2,3,2000,0
49,Croatia,1,0,1,2,2000,0
50,Cameroon,1,0,0,1,2000,0
50,Colombia,1,0,0,1,2000,0
50,Mozambique,1,0,0,1,2000,0
53,Brazil,0,6,6,12,2000,0
54,Jamaica,0,6,3,9,2000,0
55,Belgium,0,2,3,5,2000,0
55,South Africa,0,2,3,5,2000,0
57,Argentina,0,2,2,4,2000,0
58,Chinese Taipei,0,1,4,5,2000,0
58,Morocco,0,1,4,5,2000,0
60,North Korea,0,1,3,4,2000,0
61,Moldova,0,1,1,2,2000,0
61,Saudi Arabia,0,1,1,2,2000,0
61,Trinidad and Tobago,0,1,1,2,2000,0
64,Ireland,0,1,0,1,2000,0
64,Sri Lanka,0,1,0,1,2000,0
64,Uruguay,0,1,0,1,2000,0
64,Vietnam,0,1,0,1,2000,0
68,Georgia,0,0,6,6,2000,0
69,Costa Rica,0,0,2,2,2000,0
69,Portugal,0,0,2,2,2000,0
71,Armenia,0,0,1,1,2000,0
71,Barbados,0,0,1,1,2000,0
71,Chile,0,0,1,1,2000,0
71,Iceland,0,0,1,1,2000,0
71,India,0,0,1,1,2000,0
71,Israel,0,0,1,1,2000,0
71,Kuwait,0,0,1,1,2000,0
71,Kyrgyzstan,0,0,1,1,2000,0
71,Macedonia,0,0,1,1,2000,0
71,Qatar,0,0,1,1,2000,0
1,United States,36,39,26,101,2004,0
2,China,32,17,14,63,2004,0
3,Russia,28,26,36,90,2004,0
4,Australia,17,16,17,50,2004,0
5,Japan,16,9,12,37,2004,0
6,Germany,13,16,20,49,2004,0
7,France,11,9,13,33,2004,0
8,Italy,10,11,11,32,2004,0
9,South Korea,9,12,9,30,2004,0
10,Great Britain,9,9,12,30,2004,0
11,Cuba,9,7,11,27,2004,0
12,Hungary,8,6,3,17,2004,0
13,Ukraine,8,5,9,22,2004,0
14,Romania,8,5,6,19,2004,0
15,Greece,6,6,4,16,2004,1
16,Brazil,5,2,3,10,2004,0
17,Norway,5,0,1,6,2004,0
18,Netherlands,4,9,9,22,2004,0
19,Sweden,4,2,1,7,2004,0
20,Spain,3,11,6,20,2004,0
21,Canada,3,6,3,12,2004,0
22,Turkey,3,3,4,10,2004,0
23,Poland,3,2,5,10,2004,0
24,New Zealand,3,2,0,5,2004,0
25,Thailand,3,1,4,8,2004,0
26,Belarus,2,5,6,13,2004,0
27,Austria,2,4,1,7,2004,0
28,Ethiopia,2,3,2,7,2004,0
29,Iran,2,2,2,6,2004,0
29,Slovakia,2,2,2,6,2004,0
31,Chinese Taipei,2,2,1,5,2004,0
32,Georgia,2,2,0,4,2004,0
33,Bulgaria,2,1,9,12,2004,0
34,Denmark,2,1,5,8,2004,0
35,Jamaica,2,1,2,5,2004,0
35,Uzbekistan,2,1,2,5,2004,0
37,Morocco,2,1,0,3,2004,0
38,Argentina,2,0,4,6,2004,0
39,Chile,2,0,1,3,2004,0
40,Kazakhstan,1,4,3,8,2004,0
41,Kenya,1,4,2,7,2004,0
42,Czech Republic,1,3,5,9,2004,0
43,South Africa,1,3,2,6,2004,0
44,Croatia,1,2,2,5,2004,0
45,Lithuania,1,2,0,3,2004,0
46,Egypt,1,1,3,5,2004,0
46,Switzerland,1,1,3,5,2004,0
48,Indonesia,1,1,2,4,2004,0
49,Zimbabwe,1,1,1,3,2004,0
50,Azerbaijan,1,0,4,5,2004,0
51,Belgium,1,0,2,3,2004,0
52,Bahamas,1,0,1,2,2004,0
52,Israel,1,0,1,2,2004,0
54,Cameroon,1,0,0,1,2004,0
54,Dominican Republic,1,0,0,1,2004,0
54,United Arab Emirates,1,0,0,1,2004,0
57,North Korea,0,4,1,5,2004,0
58,Latvia,0,4,0,4,2004,0
59,Mexico,0,3,1,4,2004,0
60,Portugal,0,2,1,3,2004,0
61,Finland,0,2,0,2,2004,0
61,Serbia and Montenegro,0,2,0,2,2004,0
63,Slovenia,0,1,3,4,2004,0
64,Estonia,0,1,2,3,2004,0
65,Hong Kong,0,1,0,1,2004,0
65,India,0,1,0,1,2004,0
65,Paraguay,0,1,0,1,2004,0
68,Colombia,0,0,2,2,2004,0
68,Nigeria,0,0,2,2,2004,0
68,Venezuela,0,0,2,2,2004,0
71,Eritrea,0,0,1,1,2004,0
71,Mongolia,0,0,1,1,2004,0
71,Syria,0,0,1,1,2004,0
71,Trinidad and Tobago,0,0,1,1,2004,0
1,China,48,22,30,100,2008,1
2,United States,36,39,37,112,2008,0
3,Russia,24,13,23,60,2008,0
4,Great Britain,19,13,19,51,2008,0
5,Germany,16,11,14,41,2008,0
6,Australia,14,15,17,46,2008,0
7,South Korea,13,11,8,32,2008,0
8,Japan,9,8,8,25,2008,0
9,Italy,8,9,10,27,2008,0
10,France,7,16,20,43,2008,0
11,Netherlands,7,5,4,16,2008,0
12,Ukraine,7,4,11,22,2008,0
13,Kenya,6,4,6,16,2008,0
14,Spain,5,11,3,19,2008,0
15,Jamaica,5,4,2,11,2008,0
16,Poland,4,5,2,11,2008,0
17,Ethiopia,4,2,1,7,2008,0
18,Romania,4,1,4,9,2008,0
19,Cuba,3,10,17,30,2008,0
20,Canada,3,9,8,20,2008,0
21,Hungary,3,5,2,10,2008,0
22,Norway,3,5,1,9,2008,0
23,Brazil,3,4,10,17,2008,0
24,Belarus,3,4,7,14,2008,0
25,Czech Republic,3,3,1,7,2008,0
26,Slovakia,3,3,0,6,2008,0
27,New Zealand,3,2,4,9,2008,0
28,Georgia,3,2,2,7,2008,0
29,Kazakhstan,2,3,4,9,2008,0
30,Denmark,2,2,3,7,2008,0
31,North Korea,2,2,2,6,2008,0
31,Thailand,2,2,2,6,2008,0
33,Mongolia,2,2,0,4,2008,0
34,Switzerland,2,1,4,7,2008,0
35,Argentina,2,0,4,6,2008,0
36,Mexico,2,0,2,4,2008,0
37,Belgium,2,0,0,2,2008,0
38,Zimbabwe,1,3,0,4,2008,0
39,Slovenia,1,2,2,5,2008,0
40,Azerbaijan,1,1,4,6,2008,0
40,Indonesia,1,1,4,6,2008,0
42,Bulgaria,1,1,3,5,2008,0
42,Turkey,1,1,3,5,2008,0
44,Chinese Taipei,1,1,2,4,2008,0
44,Finland,1,1,2,4,2008,0
46,Latvia,1,1,1,3,2008,0
47,Dominican Republic,1,1,0,2,2008,0
47,Estonia,1,1,0,2,2008,0
47,Portugal,1,1,0,2,2008,0
47,Trinidad and Tobago,1,1,0,2,2008,0
51,India,1,0,2,3,2008,0
52,Iran,1,0,1,2,2008,0
53,Cameroon,1,0,0,1,2008,0
53,Panama,1,0,0,1,2008,0
53,Tunisia,1,0,0,1,2008,0
56,Sweden,0,4,1,5,2008,0
57,Lithuania,0,3,2,5,2008,0
57,Nigeria,0,3,2,5,2008,0
59,Croatia,0,2,3,5,2008,0
60,Colombia,0,2,1,3,2008,0
60,Greece,0,2,1,3,2008,0
62,Armenia,0,1,4,5,2008,0
63,Uzbekistan,0,1,3,4,2008,0
64,Austria,0,1,2,3,2008,0
64,Ireland,0,1,2,3,2008,0
64,Kyrgyzstan,0,1,2,3,2008,0
64,Serbia,0,1,2,3,2008,0
68,Algeria,0,1,1,2,2008,0
68,Bahamas,0,1,1,2,2008,0
68,Morocco,0,1,1,2,2008,0
68,Tajikistan,0,1,1,2,2008,0
72,Chile,0,1,0,1,2008,0
72,Ecuador,0,1,0,1,2008,0
72,Iceland,0,1,0,1,2008,0
72,Malaysia,0,1,0,1,2008,0
72,Samoa,0,1,0,1,2008,0
72,Singapore,0,1,0,1,2008,0
72,South Africa,0,1,0,1,2008,0
72,Sudan,0,1,0,1,2008,0
72,Vietnam,0,1,0,1,2008,0
81,Egypt,0,0,2,2,2008,0
82,Afghanistan,0,0,1,1,2008,0
82,Israel,0,0,1,1,2008,0
82,Mauritius,0,0,1,1,2008,0
82,Moldova,0,0,1,1,2008,0
82,Togo,0,0,1,1,2008,0
82,Venezuela,0,0,1,1,2008,0
1,United States,48,26,30,104,2012,0
2,China,39,31,22,92,2012,0
3,Great Britain,29,18,18,65,2012,0
4,Russia,18,21,26,65,2012,0
5,South Korea,13,9,9,31,2012,0
6,Germany,11,20,13,44,2012,0
7,France,11,11,13,35,2012,0
8,Australia,8,15,12,35,2012,0
9,Italy,8,9,11,28,2012,0
10,Hungary,8,4,6,18,2012,0
11,Japan,7,14,17,38,2012,0
12,Iran,7,5,1,13,2012,0
13,Netherlands,6,6,8,20,2012,0
14,New Zealand,6,2,5,13,2012,0
15,Ukraine,5,4,10,19,2012,0
16,Cuba,5,3,7,15,2012,0
17,Spain,4,10,6,20,2012,0
18,Jamaica,4,5,4,13,2012,0
19,Czech Republic,4,4,3,11,2012,0
20,South Africa,4,1,1,6,2012,0
21,North Korea,4,0,2,6,2012,0
22,Brazil,3,5,9,17,2012,0
23,Kazakhstan,3,2,6,11,2012,0
23,Poland,3,2,6,11,2012,0
25,Ethiopia,3,2,3,8,2012,0
26,Croatia,3,1,2,6,2012,0
27,Canada,2,6,10,18,2012,0
28,Belarus,2,5,3,10,2012,0
29,Kenya,2,4,7,13,2012,0
30,Denmark,2,4,3,9,2012,0
31,Romania,2,4,1,7,2012,0
32,Azerbaijan,2,2,5,9,2012,0
33,Switzerland,2,2,0,4,2012,0
34,Norway,2,1,1,4,2012,0
35,Lithuania,2,0,3,5,2012,0
36,Tunisia,2,0,1,3,2012,0
37,Sweden,1,4,3,8,2012,0
38,Colombia,1,3,5,9,2012,0
39,Mexico,1,3,4,8,2012,0
40,Georgia,1,2,3,6,2012,0
41,Ireland,1,1,4,6,2012,0
42,Argentina,1,1,2,4,2012,0
42,Serbia,1,1,2,4,2012,0
42,Slovenia,1,1,2,4,2012,0
42,Trinidad and Tobago,1,1,2,4,2012,0
46,Turkey,1,1,1,3,2012,0
47,Dominican Republic,1,1,0,2,2012,0
48,Chinese Taipei,1,0,1,2,2012,0
48,Latvia,1,0,1,2,2012,0
50,Algeria,1,0,0,1,2012,0
50,Bahamas,1,0,0,1,2012,0
50,Bahrain,1,0,0,1,2012,0
50,Grenada,1,0,0,1,2012,0
50,Uganda,1,0,0,1,2012,0
50,Venezuela,1,0,0,1,2012,0
56,Egypt,0,3,1,4,2012,0
57,India,0,2,4,6,2012,0
58,Mongolia,0,2,3,5,2012,0
59,Thailand,0,2,2,4,2012,0
60,Bulgaria,0,2,1,3,2012,0
60,Finland,0,2,1,3,2012,0
60,Indonesia,0,2,1,3,2012,0
63,Slovakia,0,1,3,4,2012,0
64,Belgium,0,1,2,3,2012,0
65,Armenia,0,1,1,2,2012,0
65,Estonia,0,1,1,2,2012,0
65,Malaysia,0,1,1,2,2012,0
65,Puerto Rico,0,1,1,2,2012,0
65,Qatar,0,1,1,2,2012,0
70,Botswana,0,1,0,1,2012,0
70,Cyprus,0,1,0,1,2012,0
70,Gabon,0,1,0,1,2012,0
70,Guatemala,0,1,0,1,2012,0
70,Montenegro,0,1,0,1,2012,0
70,Portugal,0,1,0,1,2012,0
76,Uzbekistan,0,0,3,3,2012,0
77,Greece,0,0,2,2,2012,0
77,Singapore,0,0,2,2,2012,0
79,Afghanistan,0,0,1,1,2012,0
79,Cameroon,0,0,1,1,2012,0
79,Hong Kong,0,0,1,1,2012,0
79,Kuwait,0,0,1,1,2012,0
79,Morocco,0,0,1,1,2012,0
79,Saudi Arabia,0,0,1,1,2012,0
79,Tajikistan,0,0,1,1,2012,0
79,Vietnam,0,0,1,1,2012,0
1,United States,46,37,38,121,2016,0
2,Great Britain,27,23,17,67,2016,0
3,China,26,18,26,70,2016,0
4,Russia,19,17,20,56,2016,0
5,Germany,17,10,15,42,2016,0
6,Japan,12,8,21,41,2016,0
7,France,10,18,14,42,2016,0
8,South Korea,9,3,9,21,2016,0
9,Italy,8,12,8,28,2016,0
10,Australia,8,11,10,29,2016,0
11,Netherlands,8,7,4,19,2016,0
12,Hungary,8,3,4,15,2016,0
13,Brazil,7,6,6,19,2016,1
14,Spain,7,4,6,17,2016,0
15,Kenya,6,6,1,13,2016,0
16,Jamaica,6,3,2,11,2016,0
17,Croatia,5,3,2,10,2016,0
18,Cuba,5,2,4,11,2016,0
19,New Zealand,4,9,5,18,2016,0
20,Canada,4,3,15,22,2016,0
21,Uzbekistan,4,2,7,13,2016,0
22,Colombia,3,2,3,8,2016,0
23,Switzerland,3,2,2,7,2016,0
24,Iran,3,1,4,8,2016,0
25,Greece,3,1,2,6,2016,0
26,Argentina,3,1,0,4,2016,0
27,Denmark,2,6,7,15,2016,0
28,Sweden,2,6,3,11,2016,0
29,South Africa,2,6,2,10,2016,0
30,Kazakhstan,2,5,10,17,2016,0
31,Ukraine,2,5,4,11,2016,0
32,Serbia,2,4,2,8,2016,0
33,Poland,2,3,6,11,2016,0
34,North Korea,2,3,2,7,2016,0
35,Belgium,2,2,2,6,2016,0
35,Thailand,2,2,2,6,2016,0
37,Slovakia,2,2,0,4,2016,0
38,Georgia,2,1,4,7,2016,0
39,Azerbaijan,1,7,10,18,2016,0
40,Belarus,1,4,4,9,2016,0
41,Turkey,1,3,4,8,2016,0
42,Armenia,1,3,0,4,2016,0
43,Czech Republic,1,2,7,10,2016,0
44,Ethiopia,1,2,5,8,2016,0
45,Slovenia,1,2,1,4,2016,0
46,Indonesia,1,2,0,3,2016,0
47,Romania,1,1,2,4,2016,0
48,Bahrain,1,1,0,2,2016,0
48,Vietnam,1,1,0,2,2016,0
50,Chinese Taipei,1,0,2,3,2016,0
51,Bahamas,1,0,1,2,2016,0
51,Independent Olympic Athletes,1,0,1,2,2016,0
51,Ivory Coast,1,0,1,2,2016,0
54,Fiji,1,0,0,1,2016,0
54,Jordan,1,0,0,1,2016,0
54,Kosovo,1,0,0,1,2016,0
54,Puerto Rico,1,0,0,1,2016,0
54,Singapore,1,0,0,1,2016,0
54,Tajikistan,1,0,0,1,2016,0
60,Malaysia,0,4,1,5,2016,0
61,Mexico,0,3,2,5,2016,0
62,Venezuela,0,2,1,3,2016,0
63,Algeria,0,2,0,2,2016,0
63,Ireland,0,2,0,2,2016,0
65,Lithuania,0,1,3,4,2016,0
66,Bulgaria,0,1,2,3,2016,0
67,India,0,1,1,2,2016,0
67,Mongolia,0,1,1,2,2016,0
69,Burundi,0,1,0,1,2016,0
69,Grenada,0,1,0,1,2016,0
69,Niger,0,1,0,1,2016,0
69,Philippines,0,1,0,1,2016,0
69,Qatar,0,1,0,1,2016,0
74,Norway,0,0,4,4,2016,0
75,Egypt,0,0,3,3,2016,0
75,Tunisia,0,0,3,3,2016,0
77,Israel,0,0,2,2,2016,0
78,Austria,0,0,1,1,2016,0
78,Dominican Republic,0,0,1,1,2016,0
78,Estonia,0,0,1,1,2016,0
78,Finland,0,0,1,1,2016,0
78,Morocco,0,0,1,1,2016,0
78,Nigeria,0,0,1,1,2016,0
78,Portugal,0,0,1,1,2016,0
78,Trinidad and Tobago,0,0,1,1,2016,0
78,United Arab Emirates,0,0,1,1,2016,0
1,United States,39,41,33,113,2020,0
2,China,38,32,19,89,2020,0
3,Japan,27,14,17,58,2020,1
4,Great Britain,22,20,22,64,2020,0
5,ROC,20,28,23,71,2020,0
6,Australia,17,7,22,46,2020,0
7,Netherlands,10,12,14,36,2020,0
8,France,10,12,11,33,2020,0
9,Germany,10,11,16,37,2020,0
10,Italy,10,10,20,40,2020,0
11,Canada,7,7,10,24,2020,0
12,Brazil,7,6,8,21,2020,0
13,New Zealand,7,6,7,20,2020,0
14,Cuba,7,3,5,15,2020,0
15,Hungary,6,7,7,20,2020,0
16,South Korea,6,4,10,20,2020,0
17,Poland,4,5,5,14,2020,0
18,Czech Republic,4,4,3,11,2020,0
19,Kenya,4,4,2,10,2020,0
20,Norway,4,2,2,8,2020,0
21,Jamaica,4,1,4,9,2020,0
22,Spain,3,8,6,17,2020,0
23,Sweden,3,6,0,9,2020,0
24,Switzerland,3,4,6,13,2020,0
25,Denmark,3,4,4,11,2020,0
26,Croatia,3,3,2,8,2020,0
27,Iran,3,2,2,7,2020,0
28,Serbia,3,1,5,9,2020,0
29,Belgium,3,1,3,7,2020,0
30,Bulgaria,3,1,2,6,2020,0
31,Slovenia,3,1,1,5,2020,0
32,Uzbekistan,3,0,2,5,2020,0
33,Georgia,2,5,1,8,2020,0
34,Chinese Taipei,2,4,6,12,2020,0
35,Turkey,2,2,9,13,2020,0
36,Greece,2,1,1,4,2020,0
36,Uganda,2,1,1,4,2020,0
38,Ecuador,2,1,0,3,2020,0
39,Ireland,2,0,2,4,2020,0
39,Israel,2,0,2,4,2020,0
41,Qatar,2,0,1,3,2020,0
42,Bahamas,2,0,0,2,2020,0
42,Kosovo,2,0,0,2,2020,0
44,Ukraine,1,6,12,19,2020,0
45,Belarus,1,3,3,7,2020,0
46,Romania,1,3,0,4,2020,0
46,Venezuela,1,3,0,4,2020,0
48,India,1,2,4,7,2020,0
49,Hong Kong,1,2,3,6,2020,0
50,Philippines,1,2,1,4,2020,0
50,Slovakia,1,2,1,4,2020,0
52,South Africa,1,2,0,3,2020,0
53,Austria,1,1,5,7,2020,0
54,Egypt,1,1,4,6,2020,0
55,Indonesia,1,1,3,5,2020,0
56,Ethiopia,1,1,2,4,2020,0
56,Portugal,1,1,2,4,2020,0
58,Tunisia,1,1,0,2,2020,0
59,Estonia,1,0,1,2,2020,0
59,Fiji,1,0,1,2,2020,0
59,Latvia,1,0,1,2,2020,0
59,Thailand,1,0,1,2,2020,0
63,Bermuda,1,0,0,1,2020,0
63,Morocco,1,0,0,1,2020,0
63,Puerto Rico,1,0,0,1,2020,0
66,Colombia,0,4,1,5,2020,0
67,Azerbaijan,0,3,4,7,2020,0
68,Dominican Republic,0,3,2,5,2020,0
69,Armenia,0,2,2,4,2020,0
70,Kyrgyzstan,0,2,1,3,2020,0
71,Mongolia,0,1,3,4,2020,0
72,Argentina,0,1,2,3,2020,0
72,San Marino,0,1,2,3,2020,0
74,Jordan,0,1,1,2,2020,0
74,Malaysia,0,1,1,2,2020,0
74,Nigeria,0,1,1,2,2020,0
77,Bahrain,0,1,0,1,2020,0
77,Lithuania,0,1,0,1,2020,0
77,Namibia,0,1,0,1,2020,0
77,North Macedonia,0,1,0,1,2020,0
77,Saudi Arabia,0,1,0,1,2020,0
77,Turkmenistan,0,1,0,1,2020,0
83,Kazakhstan,0,0,8,8,2020,0
84,Mexico,0,0,4,4,2020,0
85,Finland,0,0,2,2,2020,0
86,Botswana,0,0,1,1,2020,0
86,Burkina Faso,0,0,1,1,2020,0
86,Ghana,0,0,1,1,2020,0
86,Grenada,0,0,1,1,2020,0
86,Ivory Coast,0,0,1,1,2020,0
86,Kuwait,0,0,1,1,2020,0
86,Moldova,0,0,1,1,2020,0
86,Syria,0,0,1,1,2020,0
1,United States,40,44,42,126,2024,0
2,China,40,27,24,91,2024,0
3,Japan,20,12,13,45,2024,0
4,Australia,18,19,16,53,2024,0
5,France,16,26,22,64,2024,1
6,Netherlands,15,7,12,34,2024,0
7,Great Britain,14,22,29,65,2024,0
8,South Korea,13,9,10,32,2024,0
9,Italy,12,13,15,40,2024,0
10,Germany,12,13,8,33,2024,0
11,New Zealand,10,7,3,20,2024,0
12,Canada,9,7,11,27,2024,0
13,Uzbekistan,8,2,3,13,2024,0
14,Hungary,6,7,6,19,2024,0
15,Spain,5,4,9,18,2024,0
16,Sweden,4,4,3,11,2024,0
17,Kenya,4,2,5,11,2024,0
18,Norway,4,1,3,8,2024,0
19,Ireland,4,0,3,7,2024,0
20,Brazil,3,7,10,20,2024,0
21,Iran,3,6,3,12,2024,0
22,Ukraine,3,5,4,12,2024,0
23,Romania,3,4,2,9,2024,0
24,Georgia,3,3,1,7,2024,0
25,Belgium,3,1,6,10,2024,0
26,Bulgaria,3,1,3,7,2024,0
27,Serbia,3,1,1,5,2024,0
28,Czech Republic,3,0,2,5,2024,0
29,Denmark,2,2,5,9,2024,0
30,Azerbaijan,2,2,3,7,2024,0
30,Croatia,2,2,3,7,2024,0
32,Cuba,2,1,6,9,2024,0
33,Bahrain,2,1,1,4,2024,0
34,Slovenia,2,1,0,3,2024,0
